model,split,folds,auc_mean,auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,top_10pct_churn_recall_mean,positive_rate_mean
xgboost,test,5,0.805666730214505,0.010958145612818096,0.8440902949401565,0.00818940925230384,0.7875500014231153,0.01578408601653167,0.1626171040968476,0.5819965019255274
xgboost,valid,5,0.802024189823979,0.005329939252875693,0.8525126655086206,0.016260363779504475,0.7976197121320652,0.024816205443730605,0.15637841316713325,0.6069254105932311
