model,split,auc,pr_auc,precision,recall,f1,top_10pct_churn_recall,positive_rate
xgboost,test,0.8147398701881665,0.8376886948306099,0.7253408571987736,0.8348350039418854,0.7762457457020683,0.17084318804670195,0.55183343691734
lightgbm,test,0.8142315660887063,0.8370939877704078,0.8057656778331649,0.6508334271877464,0.7200598102892388,0.17092765701843302,0.55183343691734
random_forest,test,0.8112075529197671,0.8354525186363814,0.7979398499648709,0.6608758493824379,0.7229688799449675,0.17088072981191577,0.55183343691734
logistic_regression,test,0.8072142855567368,0.8319455903212397,0.7864418953921163,0.6782201449112137,0.7283328461856335,0.1708713443706123,0.55183343691734
xgboost,valid,0.803443641002981,0.8440343890418935,0.7379971169337742,0.8457016256765555,0.788186976150262,0.16078941998425825,0.586190397530175
lightgbm,valid,0.8030268824416618,0.8433872617340886,0.8120454901771609,0.6542935157563331,0.7246838508314051,0.1607699857158127,0.586190397530175
random_forest,valid,0.8002580562835353,0.8414424092846364,0.8046920752418656,0.6675962725073121,0.7297611650176059,0.16094489413182264,0.586190397530175
logistic_regression,valid,0.796101638125102,0.8384079624104948,0.7952487158691538,0.6860199589936936,0.7366070729887786,0.16074083431314437,0.586190397530175
